accuracy,cols
98.91,median_z mean_y rms_z std_x mean_x median_x
97.83,median_z mean_y rms_z std_x mean_x median_y
97.83,median_z mean_y rms_z std_x mean_x rms_x
98.91,median_z mean_y rms_z std_x mean_x rms_y
98.91,median_z mean_y rms_z std_x mean_x std_y mean_z
100.00,median_z mean_y rms_z std_x mean_x std_y std_z
100.00,median_z mean_y rms_z std_x mean_x std_y median_x
98.91,median_z mean_y rms_z std_x mean_x std_y median_y
100.00,median_z mean_y rms_z std_x mean_x std_y rms_x
100.00,median_z mean_y rms_z std_x mean_x std_y rms_y
98.91,median_z mean_y rms_z std_x mean_x std_y mean_z
100.00,median_z mean_y rms_z std_x mean_x std_y std_z
100.00,median_z mean_y rms_z std_x mean_x std_y median_x
98.91,median_z mean_y rms_z std_x mean_x std_y median_y
100.00,median_z mean_y rms_z std_x mean_x std_y rms_x
100.00,median_z mean_y rms_z std_x mean_x std_y rms_y
100.00,median_z mean_y rms_z std_x mean_x std_z std_y
98.91,median_z mean_y rms_z std_x mean_x std_z mean_z
100.00,median_z mean_y rms_z std_x mean_x std_z median_x
98.91,median_z mean_y rms_z std_x mean_x std_z median_y
98.91,median_z mean_y rms_z std_x mean_x std_z rms_x
98.91,median_z mean_y rms_z std_x mean_x std_z rms_y
100.00,median_z mean_y rms_z std_x mean_x std_y
98.91,median_z mean_y rms_z std_x mean_x mean_z
100.00,median_z mean_y rms_z std_x mean_x std_z
98.91,median_z mean_y rms_z std_x mean_x median_x
97.83,median_z mean_y rms_z std_x mean_x median_y
97.83,median_z mean_y rms_z std_x mean_x rms_x
98.91,median_z mean_y rms_z std_x mean_x rms_y
98.91,median_z mean_y rms_z std_x mean_x std_y mean_z
100.00,median_z mean_y rms_z std_x mean_x std_y std_z
100.00,median_z mean_y rms_z std_x mean_x std_y median_x
98.91,median_z mean_y rms_z std_x mean_x std_y median_y
100.00,median_z mean_y rms_z std_x mean_x std_y rms_x
100.00,median_z mean_y rms_z std_x mean_x std_y rms_y
98.91,median_z mean_y rms_z std_x mean_x std_y mean_z
100.00,median_z mean_y rms_z std_x mean_x std_y std_z
100.00,median_z mean_y rms_z std_x mean_x std_y median_x
98.91,median_z mean_y rms_z std_x mean_x std_y median_y
100.00,median_z mean_y rms_z std_x mean_x std_y rms_x
100.00,median_z mean_y rms_z std_x mean_x std_y rms_y
100.00,median_z mean_y rms_z std_x mean_x std_z std_y
98.91,median_z mean_y rms_z std_x mean_x std_z mean_z
100.00,median_z mean_y rms_z std_x mean_x std_z median_x
98.91,median_z mean_y rms_z std_x mean_x std_z median_y
98.91,median_z mean_y rms_z std_x mean_x std_z rms_x
98.91,median_z mean_y rms_z std_x mean_x std_z rms_y
100.00,median_z mean_y rms_z std_x std_z mean_x
98.91,median_z mean_y rms_z std_x std_z std_y
97.83,median_z mean_y rms_z std_x std_z mean_z
98.91,median_z mean_y rms_z std_x std_z median_x
98.91,median_z mean_y rms_z std_x std_z median_y
100.00,median_z mean_y rms_z std_x std_z rms_x
98.91,median_z mean_y rms_z std_x std_z rms_y
100.00,median_z mean_y rms_z std_x std_z mean_x std_y
98.91,median_z mean_y rms_z std_x std_z mean_x mean_z
100.00,median_z mean_y rms_z std_x std_z mean_x median_x
98.91,median_z mean_y rms_z std_x std_z mean_x median_y
98.91,median_z mean_y rms_z std_x std_z mean_x rms_x
98.91,median_z mean_y rms_z std_x std_z mean_x rms_y
100.00,median_z mean_y rms_z std_x std_z mean_x std_y
98.91,median_z mean_y rms_z std_x std_z mean_x mean_z
100.00,median_z mean_y rms_z std_x std_z mean_x median_x
98.91,median_z mean_y rms_z std_x std_z mean_x median_y
98.91,median_z mean_y rms_z std_x std_z mean_x rms_x
98.91,median_z mean_y rms_z std_x std_z mean_x rms_y
100.00,median_z mean_y rms_z std_x std_z rms_x mean_x
100.00,median_z mean_y rms_z std_x std_z rms_x std_y
100.00,median_z mean_y rms_z std_x std_z rms_x mean_z
100.00,median_z mean_y rms_z std_x std_z rms_x median_x
100.00,median_z mean_y rms_z std_x std_z rms_x median_y
100.00,median_z mean_y rms_z std_x std_z rms_x rms_y
98.91,median_z mean_y rms_z std_y mean_x
97.83,median_z mean_y rms_z std_y std_x
98.91,median_z mean_y rms_z std_y mean_z
98.91,median_z mean_y rms_z std_y std_z
97.83,median_z mean_y rms_z std_y median_x
98.91,median_z mean_y rms_z std_y median_y
100.00,median_z mean_y rms_z std_y rms_x
98.91,median_z mean_y rms_z std_y rms_y
100.00,median_z mean_y rms_z std_y rms_x mean_x
100.00,median_z mean_y rms_z std_y rms_x std_x
100.00,median_z mean_y rms_z std_y rms_x mean_z
100.00,median_z mean_y rms_z std_y rms_x std_z
100.00,median_z mean_y rms_z std_y rms_x median_x
100.00,median_z mean_y rms_z std_y rms_x median_y
100.00,median_z mean_y rms_z std_y rms_x rms_y
98.91,median_z mean_y rms_z rms_y mean_x
97.83,median_z mean_y rms_z rms_y std_x
97.83,median_z mean_y rms_z rms_y std_y
96.74,median_z mean_y rms_z rms_y mean_z
97.83,median_z mean_y rms_z rms_y std_z
95.65,median_z mean_y rms_z rms_y median_x
97.83,median_z mean_y rms_z rms_y median_y
98.91,median_z mean_y rms_z rms_y rms_x
98.91,median_z mean_y rms_z rms_y mean_x std_x
98.91,median_z mean_y rms_z rms_y mean_x std_y
97.83,median_z mean_y rms_z rms_y mean_x mean_z
98.91,median_z mean_y rms_z rms_y mean_x std_z
96.74,median_z mean_y rms_z rms_y mean_x median_x
98.91,median_z mean_y rms_z rms_y mean_x median_y
97.83,median_z mean_y rms_z rms_y mean_x rms_x
98.91,median_z mean_y rms_z rms_y mean_x std_x
98.91,median_z mean_y rms_z rms_y mean_x std_y
97.83,median_z mean_y rms_z rms_y mean_x mean_z
98.91,median_z mean_y rms_z rms_y mean_x std_z
96.74,median_z mean_y rms_z rms_y mean_x median_x
98.91,median_z mean_y rms_z rms_y mean_x median_y
97.83,median_z mean_y rms_z rms_y mean_x rms_x
98.91,median_z mean_y rms_z rms_y rms_x mean_x
100.00,median_z mean_y rms_z rms_y rms_x std_x
100.00,median_z mean_y rms_z rms_y rms_x std_y
100.00,median_z mean_y rms_z rms_y rms_x mean_z
100.00,median_z mean_y rms_z rms_y rms_x std_z
100.00,median_z mean_y rms_z rms_y rms_x median_x
98.91,median_z mean_y rms_z rms_y rms_x median_y
98.91,median_z mean_y rms_z rms_y rms_x std_x mean_x
100.00,median_z mean_y rms_z rms_y rms_x std_x std_y
98.91,median_z mean_y rms_z rms_y rms_x std_x mean_z
100.00,median_z mean_y rms_z rms_y rms_x std_x std_z
100.00,median_z mean_y rms_z rms_y rms_x std_x median_x
100.00,median_z mean_y rms_z rms_y rms_x std_x median_y
98.91,median_z mean_y rms_z rms_y rms_x std_x mean_x
100.00,median_z mean_y rms_z rms_y rms_x std_x std_y
98.91,median_z mean_y rms_z rms_y rms_x std_x mean_z
100.00,median_z mean_y rms_z rms_y rms_x std_x std_z
100.00,median_z mean_y rms_z rms_y rms_x std_x median_x
100.00,median_z mean_y rms_z rms_y rms_x std_x median_y
100.00,median_z mean_y rms_z rms_y rms_x std_y mean_x
100.00,median_z mean_y rms_z rms_y rms_x std_y std_x
100.00,median_z mean_y rms_z rms_y rms_x std_y mean_z
100.00,median_z mean_y rms_z rms_y rms_x std_y std_z
100.00,median_z mean_y rms_z rms_y rms_x std_y median_x
100.00,median_z mean_y rms_z rms_y rms_x std_y median_y
97.83,median_z mean_y rms_z rms_y rms_x mean_z mean_x
98.91,median_z mean_y rms_z rms_y rms_x mean_z std_x
100.00,median_z mean_y rms_z rms_y rms_x mean_z std_y
98.91,median_z mean_y rms_z rms_y rms_x mean_z std_z
100.00,median_z mean_y rms_z rms_y rms_x mean_z median_x
98.91,median_z mean_y rms_z rms_y rms_x mean_z median_y
98.91,median_z mean_y rms_z rms_y rms_x std_z mean_x
100.00,median_z mean_y rms_z rms_y rms_x std_z std_x
100.00,median_z mean_y rms_z rms_y rms_x std_z std_y
98.91,median_z mean_y rms_z rms_y rms_x std_z mean_z
98.91,median_z mean_y rms_z rms_y rms_x std_z median_x
100.00,median_z mean_y rms_z rms_y rms_x std_z median_y
100.00,median_z mean_y rms_z rms_y rms_x median_x mean_x
100.00,median_z mean_y rms_z rms_y rms_x median_x std_x
100.00,median_z mean_y rms_z rms_y rms_x median_x std_y
100.00,median_z mean_y rms_z rms_y rms_x median_x mean_z
98.91,median_z mean_y rms_z rms_y rms_x median_x std_z
100.00,median_z mean_y rms_z rms_y rms_x median_x median_y
